id ymd run task_version session_time
10124 20060803 1 2VA 16:59:19
10124 20060803 2 5AV 17:06:25
10124 20060803 3 6VA 17:20:31
10124 20060803 4 8AV 17:13:30
10124 20070829 1 2VA 17:16:00
10124 20070829 2 4AV 16:55:54
10124 20070829 3 4VA 17:08:59
10124 20070829 4 6AV 17:23:25
10125 20061021 1 11AV 11:46:08
10125 20061021 2 3VA 11:53:57
10125 20061021 3 6VA 11:38:56
10125 20061021 4 9AV 11:30:14
10125 20070928 1 11VA 20:27:49
10125 20070928 2 7AV 20:12:35
10125 20070928 3 8VA 20:05:38
10125 20070928 4 9AV 20:20:22
10125 20091123 1 12VA 16:56:37
10125 20091123 2 2AV 17:04:11
10125 20091123 3 2VA 17:11:29
10125 20091123 4 5AV 17:18:41
10128 20060706 1 12AV 16:46:19
10128 20060706 2 12VA 16:54:37
10128 20060706 3 6AV 17:02:12
10128 20060706 4 8VA 17:09:49
10128 20070808 1 11VA 17:11:30
10128 20070808 2 12AV 17:26:26
10128 20070808 3 12VA 17:18:37
10128 20070808 4 1AV 16:57:49
10128 20080910 1 2VA 17:40:09
10128 20080910 2 3AV 17:25:27
10128 20080910 3 6AV 17:47:06
10128 20080910 4 7VA 17:33:12
10128 20090827 1 10AV 15:20:51
10128 20090827 2 10VA 15:35:45
10128 20090827 3 11AV 15:27:50
10128 20090827 4 1VA 15:13:35
10129 20070811 1 11AV 10:25:55
10129 20070811 2 1VA 10:04:31
10129 20070811 3 2AV 10:11:51
10129 20070811 4 2VA 10:18:55
10129 20081007 1 11AV 17:11:14
10129 20081007 2 12VA 17:25:59
10129 20081007 3 5AV 17:18:32
10129 20081007 4 5VA 17:03:44
10129 20090825 1 12AV 17:16:45
10129 20090825 2 3AV 17:38:45
10129 20090825 3 3VA 17:24:25
10129 20090825 4 8VA 17:31:44
10132 20061130 1 11VA 17:09:33
10132 20061130 2 12AV 17:17:22
10132 20061130 3 3AV 16:46:54
10132 20061130 4 6VA 17:02:21
10132 20080104 1 1AV 11:44:45
10132 20080104 2 2VA 11:37:05
10132 20080104 3 4VA 11:22:26
10132 20080104 4 9AV 11:29:51
10132 20100308 1 4AV 17:20:28
10132 20100308 2 4VA 16:55:15
10132 20100308 3 5AV 17:02:36
10132 20100308 4 5VA 17:12:58
10133 20061102 1 10AV 17:17:00
10133 20061102 2 10VA 17:09:04
10133 20061102 3 5VA 16:52:42
10133 20061102 4 7AV 17:01:08
10133 20071204 1 10VA 17:25:39
10133 20071204 2 11AV 17:40:03
10133 20071204 3 2VA 17:33:05
10133 20071204 4 5AV 17:17:53
10133 20081217 1 11AV 18:50:36
10133 20081217 2 3VA 18:42:41
10133 20081217 3 5VA 19:04:07
10133 20081217 4 7AV 18:29:23
10134 20060209 1 11AV 14:45:59
10134 20060209 2 3AV 14:28:44
10134 20060209 3 5VA 14:53:58
10134 20060209 4 9VA 14:38:03
10134 20111217 1 10VA 16:13:30
10134 20111217 2 4AV 16:20:30
10134 20111217 3 5AV 15:59:28
10134 20111217 4 7VA 16:06:30
10136 20060715 1 11VA 10:37:16
10136 20060715 2 4AV 10:44:50
10136 20060715 3 4VA 10:22:57
10136 20060715 4 7AV 10:30:06
